¶ Linstruction des	¶ L'instruction des
¶ Sensuiuent les liures Apocriphes/ qui ne	¶ S'ensuivent les livres Apocriphes/ qui ne
sõt point receuz des Hebrieux: mais nous les	sont point receuz des Hebrieux: mais nous les
lisons (cõe dit S. Hierosme au premier Pro¬	lisons (comme dit Sainct Hierosme au premier Pro¬
logue sur les Prouerbes) poͬ linstruction du	logue sur les Proverbes) pour l'instruction du
peuple/ non point pour confirmer lauthorite	peuple/ non point pour confirmer l'authorite
des doctrines Ecclesiastiques.	des doctrines Ecclesiastiques.
Tobiah/ autrement Tobie/ contient Chap̃.14.	Tobiah/ autrement Tobie/ contient Chap̃.14.
Iehudith/ autrement Iudith/ contient Chap̃.16.	Jehudith/ autrement Judith/ contient Chap̃.16.
Esther depuis la lr̃e .B. du .x. chap̃. iusq̃ en la fin.	Esther depuis la lettre .B. du .x. chap̃. jusque en la fin.
Sapience/ contient Chap̃.19.	Sapience/ contient Chap̃.19.
Iesue filz de Sirach/ autrement Ecclesiastique/	Iesue filz de Sirach/ autrement Ecclesiastique/
contient Chapitres.51.	contient Chapitres.51.
Baruch/ contient Chap̃.6.	Baruch/ contient Chap̃.6.
Lepistre de Ieremie.	L'epistre de Jeremie.
Le Cantique des troys enfans en la fornaise.	Le Cantique des troys enfans en la fornaise.
Lhistoire de Susanne.	L'histoire de Susanne.
Du dragon/ de bel.	Du dragon/ de bel.
Le. 1.des Machabees/ contient Chap̃.16.	Le. 1.des Machabees/ contient Chap̃.16.
Le. 2.des Machabees/ contient Chap̃.15.	Le. 2.des Machabees/ contient Chap̃.15.
Le .3.des Machabees/ cõtient Chap̃.1.	Le .3.des Machabees/ contient Chap̃.1.
¶ Sensuyuent les liures du	¶ S'ensuyuent les livres du
nouueau testamẽt.	nouveau testament.
S. Matthieu/ cõtient Chap̃.28.	Sainct Matthieu/ contient Chap̃.28.
S. Marc/ contient Chap̃.16.	Sainct Marc/ contient Chap̃.16.
S. Luc/ contient Chap̃.24.	Sainct Luc/ contient Chap̃.24.
S. Iehan/ contient Chap̃.21.	Sainct Jehan/ contient Chap̃.21.
Actes ou faictz des Apostres/ par S. Luc/ cõtient	Actes ou faictz des Apostres/ par Sainct Luc/ contient
Chap̃.28.	Chap̃.28.
S. Paul aux Romains/ contient Chap̃.16.	Sainct Paul aux Romains/ contient Chap̃.16.
1.Des Corinthiens/ contient Chap̃.16.	1.Des Corinthiens/ contient Chap̃.16.
2.des Corinthiens/ contient Chap̃.13.	2.des Corinthiens/ contient Chap̃.13.
Aux Galates/ cõtient Chap̃.6.	Aux Galates/ contient Chap̃.6.
Aux Ephesiens/ cõtient Chap̃.6.	Aux Ephesiens/ contient Chap̃.6.
Aux Philippiens/ contient Chap̃.4.	Aux Philippiens/ contient Chap̃.4.
Aux Colossenses/ contient Chap̃.4.	Aux Colossenses/ contient Chap̃.4.
La. 1.aux Thessaloniciens/ contient Chap̃.5.	La. 1.aux Thessaloniciens/ contient Chap̃.5.
2.aux Thessaloniciens/ cõtient Chap̃.3.	2.aux Thessaloniciens/ contient Chap̃.3.
La.1.a Timothee/ contient Chap̃.6.	La.1.a Timothee/ contient Chap̃.6.
2.a Timothee/ contient Chap̃.4.	2.a Timothee/ contient Chap̃.4.
A Tite/ contient Chap̃.3.	A Tite/ contient Chap̃.3.
A Philomene/ contient Chap̃.1.	A Philomene/ contient Chap̃.1.
Aux Hebrieux/ contient Chap̃.13.	Aux Hebrieux/ contient Chap̃.13.
S. Iacques/ contient Chap̃.5.	Sainct Jacques/ contient Chap̃.5.
1.Epistre de S. Pierre/ contient Chap̃.5.	1.Epistre de Sainct Pierre/ contient Chap̃.5.
2.Epistre de S. Pierre/ contient Chap̃.5.	2.Epistre de Sainct Pierre/ contient Chap̃.5.
1.Epistre de sainct Iehan/ contient Chap̃.5.	1.Epistre de sainct Jehan/ contient Chap̃.5.
2.Epistre de sainct Iehan/ contient Chap̃.1.	2.Epistre de sainct Jehan/ contient Chap̃.1.
3.Epistre de sainct Iehan/ contient Chap̃.1.	3.Epistre de sainct Jehan/ contient Chap̃.1.
Epistre de sainct Iude/ contient Chap̃.1.	Epistre de sainct Jude/ contient Chap̃.1.
Lapocalipse/ ou reuelatiõ de S. Iehã/ ꝯti. Cha.22.	L'apocalipse/ ou revelation de Sainct Jehan/ conti. Cha.22.
¶ Les dessusdictz liures enseignẽt ce.	¶ Les dessusdictz livres enseignent ce.
¶ Quil est un dieu tout puissãt/ tout sage/ ⁊ tout	¶ Qu'il est un dieu tout puissant/ tout sage/ et tout
bon: lequel par sa bõte a faict toutes choses.	bon: lequel par sa bonte a faict toutes choses.
¶ Quil a forme Adam/ a son image ⁊ similitude:	¶ Qu'il a forme Adam/ a son image et similitude:
mais que par lenuie du diable ⁊ inobediẽce dudict	mais que par l'envie du diable et inobedience dudict
Adam/ peche est entre au monde/ ⁊ q̃ nous sommes	Adam/ peche est entre au monde/ et que nous sommes
tous en Adam/ ⁊ par Adam pecheurs.	tous en Adam/ et par Adam pecheurs.
¶ Que Christ a este ꝓmis aux peres/ lesq̃lz ont re¬	¶ Que Christ a este promis aux peres/ lesquelz ont re¬
ceu la loy/ affin q̃ par icelle ꝯgnoissãs leͬs pechez	ceu la loy/ affin que par icelle congnoissans leurs pechez
⁊ ĩsuffisãce/ desirassẽt laduenemẽt de Christ poͬ sa	et insuffisance/ desirassent l'advenement de Christ pour sa¬
tisfaire de leͬs pechez/ ⁊ accõplir la loy par iceluy.	tisfaire de leurs pechez/ et accomplir la loy par iceluy.
¶ Que Christ est nay en temps constitue de Dieu	¶ Que Christ est nay en temps constitue de Dieu
son pere: cestascauoir lors que toute iniquite abon	son pere: c'est ascavoir lors que toute iniquite abon¬
doit. Et non point pour les bonnes oeuures dau¬	doit. Et non point pour les bonnes oeuvres d'au¬
cun (car tous estoient pecheurs) mais affin que cõ¬	cun (car tous estoient pecheurs) mais affin que com¬
me ueritable il nous fist grace ⁊ misericorde.	me veritable il nous fist grace et misericorde.
¶ Que Christ est nr̃e uie/ uoye/ uerite/ paix/ iusti¬	¶ Que Christ est nostre vie/ voye/ verite/ paix/ justi¬
ce/ pasteur/ aduocat/ hostie ⁊ prestre: lequel est mort	ce/ pasteur/ advocat/ hostie et prestre: lequel est mort
pour le salut de tous/ ⁊ resuscite pour nostre iusti	pour le salut de tous/ et resuscite pour nostre justi¬
fication. Le iugemẽt duquel les infideles doiuent	fication. Le jugement duquel les infideles doivent
craindre: ⁊ les bons attendre la uie eternelle.	craindre: et les bons attendre la vie eternelle.
¶ Sensuyuent les noms des	¶ S'ensuyvent les noms des
nombres cõmuns et chi¬	nombres communs et chi¬
phres/ auec leurs	phres/ avec leurs
ualeurs.	valeurs.
ung deux troys quattre cinq six sept huyct neuf	ung deux troys quattre cinq six sept huyct neuf
.i. .ii. .iii. .iiii. .u. .ui. .uii. .uiii. .ix.	.i. .ii. .iii. .iiii. .v. .vi. .vii. .viii. .ix.
1 2 3 4 5 6 7 8 9	1 2 3 4 5 6 7 8 9
dix unze douze treize quatorze quinze seize dixsept	dix unze douze treize quatorze quinze seize dixsept
.x. .xi. .xii. .xiii. .xiiii. .xu. .xui. .xuii.	.x. .xi. .xii. .xiii. .xiiii. .xv. .xvi. .xvii.
10 11 12 13 14  15 16  17	10 11 12 13 14 15 16 17
dixhuyct dixneuf uingt uingtung uingtdeux	dixhuyct dixneuf vingt vingtung vingtdeux
.xuiii. .xix. .xx. .xxi. .xxii.	.xviii. .xix. .xx. .xxi. .xxii.
18 19 20 21 22	18 19 20 21 22
uingttroys uingtquattre uingtcinq uingtsix	vingttroys vingtquattre vingtcinq vingtsix
.xxiii. .xxiiii. .xxu. .xxui.	.xxiii. .xxiiii. .xxv. .xxvi.
23 24 25 26	23 24 25 26
uingtsept uingthuyct uingtneuf trente trenteung	vingtsept vingthuyct vingtneuf trente trenteung
.xxuii. .xxuiii. .xxix. .xxx. .xxxi.	.xxvii. .xxviii. .xxix. .xxx. .xxxi.
27 28 29 30 31	27 28 29 30 31
trẽtedeux trẽtetroys trẽtequattre trẽtecinq trẽtesix	trentedeux trentetroys trentequattre trentecinq trentesix
.xxxii. .xxxiii. .xxxiiii. .xxxu. .xxxui.	.xxxii. .xxxiii. .xxxiiii. .xxxv. .xxxvi.
32 33 34 35 36	32 33 34 35 36
trẽtesept trẽtehuyct trẽteneuf quarãte quarãteung	trentesept trentehuyct trenteneuf quarante quaranteung
.xxxuii. .xxxuiii. .xxxix. .xl. .xli.	.xxxvii. .xxxviii. .xxxix. .xl. .xli.
37 38 39 40 41	37 38 39 40 41
quarantedeux quarantetroys quarantequattre	quarantedeux quarantetroys quarantequattre
.xlii. .xliii. .xliiii.	.xlii. .xliii. .xliiii.
42 43 44	42 43 44
quarãtecinq quarãtesix quarãtesept quarãtehuyt	quarantecinq quarantesix quarantesept quarantehuyt
.xlu. .xlui. .xluii. .xluiii.	.xlv. .xlvi. .xlvii. .xlviii.
45 46 47 48	45 46 47 48
quarãteneuf cinquãte cinquãteung cinquãtedeux	quaranteneuf cinquante cinquanteung cinquantedeux
.xlix. .l. .li. .lii.	.xlix. .l. .li. .lii.
49 50 51 52	49 50 51 52
cinquantetroys cinquantequattre cinquantecinq	cinquantetroys cinquantequattre cinquantecinq
.liii. .liiii. .lu.	.liii. .liiii. .lv.
53 54 55	53 54 55
cinquantesix cinquantesept cinquantehuyct	cinquantesix cinquantesept cinquantehuyct
.lui. .luii. .luiii.	.lvi. .lvii. .lviii.
56 57 58	56 57 58
cinquãteneuf soixante soixãteung soixãtedeux	cinquanteneuf soixante soixanteung soixantedeux
.lix. .lx. .lxi. .lxii.	.lix. .lx. .lxi. .lxii.
59 60 61 62	59 60 61 62
soixantetroys soixantequattre soixantecinq	soixantetroys soixantequattre soixantecinq
.lxiii. .lxiiii. .lxu.	.lxiii. .lxiiii. .lxv.
63 64 65	63 64 65
soixãtesix soixãtesept soixãtehuyct soixãteneuf	soixantesix soixantesept soixantehuyct soixanteneuf
.lxui. .lxuii. .lxuiii. .lxix.	.lxvi. .lxvii. .lxviii. .lxix.
66 67 68 69	66 67 68 69
septante septãteung septantedeux septantetroys	septante septanteung septantedeux septantetroys
.lxx. .lxxi. .lxxii. .lxxiii.	.lxx. .lxxi. .lxxii. .lxxiii.
70 71 72 73	70 71 72 73
septãtequattre septãtecinq septãtesix septãtesept	septantequattre septantecinq septantesix septantesept
.lxxiiii. .lxxu. .lxxui. .lxxuii.	.lxxiiii. .lxxv. .lxxvi. .lxxvii.
74 75 76 77	74 75 76 77
septantehuyct septanteneuf octante octanteung	septantehuyct septanteneuf octante octanteung
.lxxuiii. .lxxix. .lxxx. .lxxxi.	.lxxviii. .lxxix. .lxxx. .lxxxi.
78 79 80 81	78 79 80 81
octãtedeux octãtetroys octãtequattre octãtecinq	octantedeux octantetroys octantequattre octantecinq
.lxxxii. .lxxxiii. .lxxxiiii. .lxxxu.	.lxxxii. .lxxxiii. .lxxxiiii. .lxxxv.
82 83 84 85	82 83 84 85
octantesix octantesept octantehuyct octanteneuf	octantesix octantesept octantehuyct octanteneuf
.lxxxui. .lxxxuii. .lxxxuiii. .lxxxix.	.lxxxvi. .lxxxvii. .lxxxviii. .lxxxix.
86 87 88 89	86 87 88 89
nonante nonanteung nonãtedeux nonantetroys	nonante nonanteung nonantedeux nonantetroys
.xc. .xci. .xcii. .xciii.	.xc. .xci. .xcii. .xciii.
90  91 92 93	90 91 92 93
nonãtequattre nonãtecinq nonãtesix nonãtesept	nonantequattre nonantecinq nonantesix nonantesept
.xciiii. .xcu. .xcui. .xcuii.	.xciiii. .xcv. .xcvi. .xcvii.
94 95 96 97	94 95 96 97
nonãtehuyct nonãteneuf cent centung centdeux	nonantehuyct nonanteneuf cent centung centdeux
.xcuiii. .xcix. .c. .ci. .cii.	.xcviii. .xcix. .c. .ci. .cii.
98 99 100 101 102	98 99 100 101 102
cẽttroys cẽtquattre cẽtcinq cẽtsix cẽtsept cẽthuyct	centtroys centquattre centcinq centsix centsept centhuyct
.ciii. .ciiii. .cu. .cui. .cuii. .cuiii.	.ciii. .ciiii. .cv. .cvi. .cvii. .cviii.
103 104 105 106 107 108	103 104 105 106 107 108
Et ainsi consequãment des	Et ainsi consequamment des
autres nombres.	autres nombres.
1 2 3 4 5 6 7 8 9	1 2 3 4 5 6 7 8 9
Ceste figure 0 a parsoy ne faict nul nõbre	Ceste figure 0 a par soy ne faict nul nombre
mais ioincte auec les autres elle les multi¬	mais joincte avec les autres elle les multi¬
plie. Exemple 10 20 30 40 50	plie. Exemple 10 20 30 40 50
60 70 80 90 100 Quand il ya	60 70 80 90 100 Quand il y a
aucunes figures desquelles uoulõs scauoir	aucunes figures desquelles voulons scavoir
le nombre: il faut commencer a la dextre ⁊	le nombre: il faut commencer a la dextre et
monter a la senestre: disant/ Nombre 1	monter a la senestre: disant/ Nombre 1
Disaine 10 Cẽtaine 100 Mille 1000	Disaine 10 Centaine 100 Mille 1000
Dix mille 10000 Cent mille 100000	Dix mille 10000 Cent mille 100000
milliõ 1000000 dix milliõ 10000000	million 1000000 dix millions 10000000
Cent millions 100000000 Dix cens	Cent millions 100000000 Dix cens
millions 1000000000	millions 1000000000
¶ Au Lecteur.	¶ Au Lecteur.
¶ Pour enseigner les enfans a prononcer plus	¶ Pour enseigner les enfans a prononcer plus
correctemẽt: auõs diuise les lettres dun coste/ ⁊ les	correctement: avons divise les lettres d'un coste/ et les
motz de lautre/ a denotter q̃ premierement doiuent	motz de l'autre/ a denotter que premierement doivent
apprẽdre a sõner les lettres q̃ les nõmer: ie appelle	apprendre a sonner les lettres que les nommer: je appelle
le son/ b.f. sãs e: le mot /be/ ef. Ce qͥ se pourra faire/	le son/ b.f. sans e: le mot /be/ ef. Ce qui se pourra faire/
quand on les accõmodera aux sons/ sibilations/ ⁊	quand on les accommodera aux sons/ sibilations/ et
souspirs: mais court ⁊ brief/ ⁊ subtilemẽt les pronõ	souspirs: mais court et brief/ et subtilement les pronon¬
ceans/ sãs aucunemẽt trainer/ ne sõner la lettre .e.	ceans/ sans aucunement trainer/ ne sonner la lettre .e.
masculine. Cõe quãd uoudras ꝓnõcer la lettre .s/	masculine. Comme quand voudras prononcer la lettre .s/
pourras ensuyuir le son ⁊ sibilation du serpent ou	pourras ensuyvir le son et sibilation du serpent ou
oye/ mais courte ⁊ subite sans queue. Pour .r. la	oye/ mais courte et subite sans queue. Pour .r. la
uoix du chiẽ rechignãt. Pour .q. la uoix de lanet¬	voix du chien rechignant. Pour .q. la voix de l'anet¬
te ou cãne: ⁊ ainsi consequãment des autres/ cõme	te ou canne: et ainsi consequamment des autres/ comme
pourras feindre. Item poͬ la cõuenance du son qͥ	pourras feindre. Item pour la convenance du son qui
semble estre entre aucunes lr̃es on les doibt distin¬	semble estre entre aucunes lettres on les doibt distin¬
ctemẽt ꝓnõcer: affin quon ne ꝓnonce .b/ pour .p/ c.	ctement prononcer: affin qu'on ne prononce .b/ pour .p/ c.
poͬ .s/ d. pour t/ g. poͬ. c/ s. pour .z/ u cõsonãt poͬ f/ ⁊	pour .s/ d. pour t/ g. pour. c/ s. pour .z/ v consonant pour f/ et
au cõtraire. Itẽ noteras en lãgue frãcoyse estre	au contraire. Item noteras en langue francoyse estre
plus de diphthõgues q̃ en grec ne en latin/ cõme est	plus de diphthongues que en grec ne en latin/ comme est
cy dessus escrit: lesq̃lles diligẽmẽt on doit aduertir	cy dessus escrit: lesquelles diligemment on doit advertir
pour les sõner. Itẽ en icelle lãgue/ cõe en Hebrieu	pour les sonner. Item en icelle langue/ comme en Hebrieu
auoir la lettre /e/ masculine ⁊ feminine: ainsi que	avoir la lettre /e/ masculine et feminine: ainsi que
auõs discerne par deux accẽtz ⁊ poinctes/ dont lun	avons discerne par deux accentz et poinctes/ dont l'un
se appelle graue/ figure cõe une petite ligne abais¬	se appelle grave/ figure comme une petite ligne abais¬
sant le haut en arriere. Lautre est dit agu/ au con¬	sant le haut en arriere. L'autre est dit agu/ au con¬
traire abaissant le deuãt. De ce/ exẽple en as en	traire abaissant le devant. De ce/ exemple en as en
loraison dñicale: sur ce mot: Dõnè/ qui est du tẽps	l'oraison dominicale: sur ce mot: Donnè/ qui est du temps
p̃sent/ a la differẽce du tẽps passe: Dõné/ cestadire	present/ a la difference du temps passe: Donné/ c'est a dire
il a dõné. Autre exẽple/ du tẽps passe aux articles	il a donné. Autre exemple/ du temps passe aux articles
sur ce mot: Resuscité/ ou est laccẽt agu poͬ la diffe¬	sur ce mot: Resuscité/ ou est l'accent agu pour la diffe¬
rẽce du tẽps present. Laq̃lle distinction est assez uti	rence du temps present. Laquelle distinction est assez uti¬
le/ tãt pour les estrãgiers q̃ poͬ les enfãs du pays:	le/ tant pour les estrangiers que pour les enfans du pays:
pour distinguer certain temps ⁊ differẽces de motz	pour distinguer certain temps et differences de motz
doubteux/ signifiãs plusieͬs choses. Par ce moyen	doubteux/ signifians plusieurs choses. Par ce moyen
pourrõt les enfãs euiter beaucop de solecismes ⁊ ui	pourront les enfans eviter beaucop de solecismes et vi¬
ces/ tãt en escriuãt q̃ en ꝓnõceãt: cõme aucuns mal	ces/ tant en escrivant que en prononceant: comme aucuns mal
instruictz/ disent espiritus/ pour spiritꝰ: escriptura/	instruictz/ disent espiritus/ pour spiritus: escriptura/
pour scriptura: ⁊c. Que si telle cõsideration eut este	pour scriptura: etc. Que si telle consideration eut este
iadis obtenue: les motz q̃ auõs des latins usurpez/	jadis obtenue: les motz que avons des latins usurpez/
nous fussent demourez entiers/ ⁊ non ainsi misera	nous fussent demourez entiers/ et non ainsi misera¬
blemẽt deschirez/ ⁊ corrõpus: tellemẽt q̃ a grãde dif	blement deschirez/ et corrompus: tellement que a grande dif¬
ficulte on recõgnoist maintenãt leur origine ⁊ ety¬	ficulte on recongnoist maintenant leur origine et ety¬
mologie. Item en nostre lãgue on pourra obser¬	mologie. Item en nostre langue on pourra obser¬
uer (cõme anciennemẽt en latin ⁊ grec: et auiour¬	ver (comme anciennement en latin et grec: et aujour¬
dhuy en toute Litalie: aĩsi q̃ appert eis oeuures de	dhuy en toute L'italie: ainsi que appert eis oeuvres de
Petrarche ⁊ Dantes) certaines figures/ tãt en ꝓse	Petrarche et Dantes) certaines figures/ tant en prose
que en rythme: cõme apostrophe qui est un terme	que en rythme: comme apostrophe qui est un terme
grec q̃ nous pouõs appeller retraicte/ ou reuolte: ⁊	grec que nous povons appeller retraicte/ ou revolte: et
a figure/ comme un traict courbe en forme de petit	a figure/ comme un traict courbe en forme de petit
croyssant de lune/ les deux poinctes uers la main	croyssant de lune/ les deux poinctes vers la main
senestre. Et sert ladicte figure poͬ absorber ou en¬	senestre. Et sert ladicte figure pour absorber ou en¬
