¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
de Platon/ ou sur Macrobe au son	de Platon/ ou sur Macrobe au son¬
racles/ uisiõs/ ⁊ illusiõs/ q̃ faict sa¬	racles/ visions/ et illusions/ que faict sa¬
than/ soy transfigurant en ange de	than/ soy transfigurant en ange de
lumiere. Mais iacoit q̃ noꝰ ou ung	lumiere. Mais j’acoit que nous ou ung
ange du ciel uous euãgelize autre¬	ange du ciel vous evangelize autre¬
rolle de Dieu/ ce uous soit en moc¬	rolle de Dieu/ ce vous soit en moc¬
querie: ⁊ le faulx ꝓphete en maledi	querie: et le faulx prophete en maledi¬
ction. Combien les apostres	ction. Combien les apostres
seroient a redarguer de negligence/	seroient a redarguer de negligence/
toire/ de ce quilz nen ont rien escrit/	toire/ de ce qu’ilz n’en ont rien escrit/
p̃sche/ ne recõmãde/ S. Pierre escrit	presche/ ne recommande/ Sainct Pierre escrit
bien amplement a linstruction des	bien amplement a l’instruction des
eglises: ⁊ iamais ne faict mẽtiõ des	eglises: et jamais ne faict mention des
ou il recõmande tãt excellentemẽt	ou il recommande tant excellentement
les bõnes oeuures/ du tout se taist	les bonnes oeuvres/ du tout se taist
des messes/ des uigilles/ ⁊ des recõ	des messes/ des vigilles/ et des recom¬
mandasses/ q̃ on a par auarice accõ	mandasses/ que on a par avarice accom¬
les trespassez. O q̃ grandement	les trespassez. O que grandement
charite est louee par S. Iehã en ses	charite est louee par Sainct Jehan en ses
epistres: ⁊ toutesfoys il se taist de la	epistres: et toutesfoys il se taist de la
charite que on deuoit auoir aux	charite que on devoit avoir aux
tast. Que dirõs noꝰ de la diligẽce	tast. Que dirons nous de la diligence
que S. Paul a faicte/ dẽseigner la	que Sainct Paul a faicte/ d’enseigner la
foy ⁊ les bonnes oeuures aux Rõ¬	foy et les bonnes oeuvres aux Rom¬
mains: ⁊ neantmoins il nenseigne	mains: et neantmoins il n’enseigne
de Christ. Pour Dieu lisez les epi¬	de Christ. Pour Dieu lisez les epi¬
stres aux Corinthiẽs/ ⁊ uoꝰ trouue	stres aux Corinthiens/ et vous trouve¬
rez qui faict collectes/ questes/ ⁊ re¬	rez qui faict collectes/ questes/ et re¬
cõmandatiõs/ par tout ou il peult/	commandations/ par tout ou il peult/
solez/ souffreteux ⁊ ĩdigẽs/ tellemẽt	solez/ souffreteux et indigens/ tellement
qͥl se dit auoir pille les autres egli¬	qu’il se dit avoir pille les autres egli¬
ses/ poͬ ẽuoyer aux paoures de Ie	ses/ pour envoyer aux paovres de Je¬
rusalẽ: mais il ne faict nulles q̃stes	rusalem: mais il ne faict nulles questes
fõt iournellemẽt en leͬs tẽples/ dõt	font journellement en leurs temples/ dont
sont enrichiz plus q̃ Cresus/ nour¬	sont enrichiz plus que Cresus/ nour¬
rissantz grosses paillardes/ faisãtz	rissantz grosses paillardes/ faisantz
grãd chere auec leͬs macquereaux/	grand chere avec leurs macquereaux/
Malheur sur uous scribes/ phari¬	Malheur sur vous scribes/ phari¬
siẽs hypocrites/ larrõs/ meurtriers/	siens hypocrites/ larrons/ meurtriers/
qͥ laissez le cõmandement de Dieu	qui laissez le commandement de Dieu
(qͥ est subuenir aux paoures) pour	(qui est subvenir aux paovres) pour
gouffre de purgatoire. Auq̃l sõt en¬	gouffre de purgatoire. Auquel sont en¬
gloutiz les biens du monde. Cest le	gloutiz les biens du monde. C’est le
sac perce/ dõt parle le prophete/ qui	sac perce/ dont parle le prophete/ qui
ne sera iamais plein. Et certes il est	ne sera jamais plein. Et certes il est
tout est racle/ tout est purge/ gre¬	tout est racle/ tout est purge/ gre¬
niers/ caues/ boͬses/ coffres/ chãps	niers/ caves/ bourses/ coffres/ champs
⁊ uilles. Il est aussi a accõparer a	et villes. Il est aussi a accomparer a
la sãgsue dõt parle Salomõ disãt:	la sangsue dont parle Salomon disant:
te/ Apporte: ainsi disẽt ces malheu¬	te/ Apporte: ainsi disent ces malheu¬
reux prebstres/ apportez a la boyte	reux prebstres/ apportez a la boyte
des trespassez. Noubliez point les	des trespassez. N’oubliez point les
paoures trespassez/ qͥ crient a uous	paovres trespassez/ qui crient a vous
faulsaire/ ose tu bien corrõpre la pa	faulsaire/ ose tu bien corrompre la pa¬
rolle de Dieu poͬ illuminer tes te¬	rolle de Dieu pour illuminer tes te¬
nebres/ esclarcir tes mẽsõges/ ⁊ abu	nebres/ esclarcir tes mensonges/ et abu¬
ser le peuple? Cest ce feu dont il est	ser le peuple? C’est ce feu dont il est
uous dõniez tous uoz biens a ses	vous donniez tous voz biens a ses
larrõs/ ilz ne dirõt iamais cest assez	larrons/ ilz ne diront jamais c’est assez
car ilz sõt lenfer insatiable/ et la ter	car ilz sont l’enfer insatiable/ et la ter¬
re seiche qui engloutist les eaues.	re seiche qui engloutist les eaues.
aux fondemẽtz ⁊ raisõs sophistic¬	aux fondementz et raisons sophistic¬
ques quilz ont mis sus pour main¬	ques qu’ilz ont mis sus pour main¬
tenir ⁊ prouuer le purgatoire/ ainsi	tenir et prouver le purgatoire/ ainsi
par eulx nouuellement inuente.	par eulx nouvellement invente.
de S. Matthieu/ ou il est aĩsi escrit:	de Sainct Matthieu/ ou il est ainsi escrit:
Soys bien tost consentant auec ton	Soys bien tost consentant avec ton
aduersaire/ quand tu es auec luy en	adversaire/ quand tu es avec luy en
la uoye: affin quil naduiẽgne qͥ te	la voye: affin qu’il n’adviengne qui te
ministre: ⁊ q̃ tu soys enuoye en pri¬	ministre: et que tu soys envoye en pri¬
son/ ie te dis en uerite q̃ tu ne parti	son/ je te dis en verite que tu ne parti¬
ras du lieu iusque a ce que tu au¬	ras du lieu jusque a ce que tu au¬
ras paye la derniere maille ⁊c. Ses	ras paye la derniere maille etc. Ses
estre bien propre pour prouuer leur	estre bien propre pour prouver leur
nouuelle inuention/ ont ainsi faict	nouvelle invention/ ont ainsi faict
leur expositiõ ⁊ glose/ Nostre ad¬	leur exposition et glose/ Nostre ad¬
uersaire est peche qui nous meine a	versaire est peche qui nous meine a
purgatoire qͥ est la prison. De laq̃l¬	purgatoire qui est la prison. De laquel¬
le nous ne sortirõs iusque a entie¬	le nous ne sortirons jusque a entie¬
re satisfaction/ qͥ se faict en souffrãt	re satisfaction/ qui se faict en souffrant
la peine du feu. Or pẽsẽt noz mai¬	la peine du feu. Or pensent noz mai¬
ge auoir gaigne leͬ pain/ ⁊ biẽ prou	ge avoir gaigne leur pain/ et bien prou¬
ue leur cas. Mais ꝑ ce mesme texte	ve leur cas. Mais par ce mesme texte
qͥ se doit regarder par meure delibe	qui se doit regarder par meure delibe¬
ration/ ilz en sont bien arriere. Car	ration/ ilz en sont bien arriere. Car
q̃ de retirer aucũs des noyses/ hay¬	que de retirer aucuns des noyses/ hay¬
nes ⁊ proces/ ou ilz sõt par trop at¬	nes et proces/ ou ilz sont par trop at¬
tẽtifz. Et que silz ne sen ueullẽt re¬	tentifz. Et que s’ilz ne s’en veullent re¬
traire/ ilz sont en dãger de ꝑdre les¬	traire/ ilz sont en danger de perdre les¬
de laq̃lle ne sortirõt iamais/ qͥlz ne	de laquelle ne sortiront jamais/ qu’ilz ne
ayent entieremẽt satisfaict et paye.	ayent entierement satisfaict et paye.
Et cestuy est le uray ⁊ naif sens.	Et cestuy est le vray et naif sens.
Ainsi q̃ mesme prouue S. Luc/ di¬	Ainsi que mesme prouve Sainct Luc/ di¬
prince/ metz peine destre deliure de	prince/ metz peine d’estre delivre de
luy ⁊c. Il parle nõmemẽt du prin¬	luy etc. Il parle nommement du prin¬
ce/ deuant lequel ilz se retirẽt pour	ce/ devant lequel ilz se retirent pour
auoir droict ⁊ plaidoyer: ⁊ non pas	avoir droict et plaidoyer: et non pas
ction de noz pechez/ soyons mis au	ction de noz pechez/ soyons mis au
feu de purgatoire. Et a telle intelli	feu de purgatoire. Et a telle intelli¬
gẽce sont cõformes S. Ambroise qͥ	gence sont conformes Sainct Ambroise qui
dit: Quãd tu iras au magistrat ⁊c.	dit: Quand tu iras au magistrat etc.
mesme Hilaire en ses canons ou il	mesme Hilaire en ses canons ou il
dit quil fault entẽdre ce passage de	dit qu’il fault entendre ce passage de
la recõciliation. Il est dõc assez eui¬	la reconciliation. Il est donc assez evi¬
dent q̃ leur glose ⁊ exposition quilz	dent que leur glose et exposition qu’ilz
telligẽce de lescriture. Ains cest ung	telligence de l’escriture. Ains c’est ung
sens misticque faict a plaisir: lequel	sens misticque faict a plaisir: lequel
cõme dit S. Ierosme/ nest suffisãt	comme dit Sainct Jerosme/ n’est suffisant
pour approuuer les enseignemens	pour approuver les enseignemens
Secondemẽt/ ilz ueullẽt prou¬	Secondement/ ilz veullent prou¬
uer leur susdicte inuẽtion de purga	ver leur susdicte invention de purga¬
toire en ung autre passage de S.	toire en ung autre passage de Sainct
Matthieu/ ou il est dict: Le royau¬	Matthieu/ ou il est dict: Le royau¬
ung hõme qui est Roy: leq̃l a uou¬	ung homme qui est Roy: lequel a vou¬
lu cõpter auec ses seruiteͬs ⁊c. En¬	lu compter avec ses serviteurs etc. En¬
tre lesq̃lz ung diceulx luy fut presẽ	tre lesquelz ung d’iceulx luy fut presen¬
te qͥ deuoit dix mille talentz ⁊c. Et	te qui devoit dix mille talentz etc. Et
gardes des prisons iusq̃ a ce qͥl eust	gardes des prisons jusque a ce qu’il eust
paye tout ce qͥ luy estoit deu ⁊c. Sur	paye tout ce qui luy estoit deu etc. Sur
quoy ont faict une telle glose ⁊ ex¬	quoy ont faict une telle glose et ex¬
position/ il a este baille aux bour¬	position/ il a este baille aux bour¬
toute sa debte. Et icelle payee (selõ	toute sa debte. Et icelle payee (selon
les loix ciuiles) il sortira. Ergo	les loix civiles) il sortira. Ergo
ceulx qui doiuẽt a la iustice diuine/	ceulx qui doivent a la justice divine/
quand ilz aurõt satisfaict poͬ leurs	quand ilz auront satisfaict pour leurs
souffert au feu de purgatoire/ ilz	souffert au feu de purgatoire/ ilz
uuiderõt. Ces refõdeurs des ames	vuideront. Ces refondeurs des ames
pẽsent par leur Ergo estre au des¬	pensent par leur Ergo estre au des¬
sus de leur intẽtion/ ⁊ leͬ glose estre	sus de leur intention/ et leur glose estre
ceulx qui a eulx uouldroiẽt cõtre¬	ceulx qui a eulx vouldroient contre¬
dire. Mais ce passage est tãt cuidẽt	dire. Mais ce passage est tant cuident
qͥ ne leur pourra en rien ꝓffiter. Et	qui ne leur pourra en rien proffiter. Et
q̃ ainsi soit/ fault seulemẽt regarder	que ainsi soit/ fault seulement regarder
este dicte ⁊ alleguee par Christ: car	este dicte et alleguee par Christ: car
en icelle est dit: Mauuais garson ie	en icelle est dit: Mauvais garson je
tay remis toute ta debte aĩsi que tu	t’ay remis toute ta debte ainsi que tu
mas supplie. Ne deuois tu pas dõc	m’as supplie. Ne devois tu pas donc
⁊ luy faire misericorde/ cõme ie tay	et luy faire misericorde/ comme je t’ay
faict? Et pour ce est il bien notoire q̃	faict? Et pour ce est il bien notoire que
icelle similitude ne nous exhorte a	icelle similitude ne nous exhorte a
autre chose/ fors q̃ a pardonner les	autre chose/ fors que a pardonner les
lons que le Seigñr nous pardõne	lons que le Seigneur nous pardonne
⁊ face misericorde de nostre offẽse.	et face misericorde de nostre offense.
Parquoy il est tout cler qͥl nya nul	Parquoy il est tout cler qu’il n’y a nul¬
le quelcõque apparẽce a la glose de	le quelconque apparence a la glose de
dre a ce mot donec/ ou ilz se fondent	dre a ce mot donec/ ou ilz se fondent
disãt/ quil ne sortira iamais de pur	disant/ qu’il ne sortira jamais de pur¬
gatoire iusque a ce quil ayt du tout	gatoire jusque a ce qu’il ayt du tout
satisfaict ⁊ paye. Ie les renuoye au	satisfaict et paye. Je les renvoye au
mier chap̃. de S. Matthieu/ ou leur	mier chapitre de Sainct Matthieu/ ou leur
donec necessairement est prins pour	donec necessairement est prins pour
eternite/ silz ne ueulẽt corrõpre tou	eternite/ s’ilz ne veulent corrompre tou¬
te uerite descripture. Dauãtage ie	te verite d’escripture. Davantage je
ra satisfaire a Dieu poͬ ses pechez?	ra satisfaire a Dieu pour ses pechez?
certes nul/ cõe biẽ appert par Christ	certes nul/ come bien appert par Christ
qui sest faict nostre iustice a cause q̃	qui s’est faict nostre justice a cause que
par le nostre propre ne pouuions	par le nostre propre ne pouvions
dõc deliurez par grace/ ⁊ non point	donc delivrez par grace/ et non point
par nostre satisfaction. Car si par	par nostre satisfaction. Car si par
icelle on eust peu monter es cieulx/	icelle on eust peu monter es cieulx/
on nauoit que faire de la uenue de	on n’avoit que faire de la venue de
cessaire de purger noz pechez: ⁊ aĩsi	cessaire de purger noz pechez: et ainsi
que disẽt ces rotisseurs estre fricas¬	que disent ces rotisseurs estre fricas¬
sez au feu de purgatoire. Dequoy	sez au feu de purgatoire. Dequoy
nous pourroit seruir sa passiõ: poͬ¬	nous pourroit servir sa passion: pour¬
ne. Mais peult il estre dicte chose	ne. Mais peult il estre dicte chose
plus folle/ ne au plus grand blas¬	plus folle/ ne au plus grand blas¬
pheme de Christ: ueu q̃ luy mesme	pheme de Christ: veu que luy mesme
a dit/ que par luy seul auons acces	a dit/ que par luy seul avons acces
tisserie de purgatoire/ cõe disẽt ses	tisserie de purgatoire/ come disent ses
attrappe deniers: lesq̃lz poͬ mieulx	attrappe deniers: lesquelz pour mieulx
carreler leur uentre/ ont inuẽte tel¬	carreler leur ventre/ ont invente tel¬
les peines/ qͥ toutesfoys leͬ retour¬	les peines/ qui toutesfoys leur retour¬
nifestemẽt on peult ueoir: car con¬	nifestement on peult veoir: car con¬
tre ceste bruslure/ ilz ont soubdaine	tre ceste bruslure/ ilz ont soubdaine¬
mẽt trouue une ꝓpre medecine. En	ment trouve une propre medecine. En
quoy sõt faictz semblables au tria¬	quoy sont faictz semblables au tria¬
drogues/ annonce q̃lque peste pro¬	drogues/ annonce quelque peste pro¬
chaine aduenir/ si on ny remedie: et	chaine advenir/ si on n’y remedie: et
quand ⁊ quãd tire ses drogues con	quand et quand tire ses drogues con¬
tre la maladie/ iurant quil en a plu	tre la maladie/ jurant qu’il en a plu¬
en ceste maniere trouue facon de uẽ	en ceste maniere trouve facon de ven¬
dre ses coqͥlles. Ainsi fõt ses beaulx	dre ses coquilles. Ainsi font ses beaulx
sacrificateurs qui ont inuẽte tel tor	sacrificateurs qui ont invente tel tor¬
mẽt/ tel feu ardãt. Et quãd ⁊ quãd	ment/ tel feu ardant. Et quand et quand
messes/ aulmosnes/ oraisõs/ ⁊ uoya	messes/ aulmosnes/ oraisons/ et voya¬
ges: comme il appert par le Decret	ges: comme il appert par le Decret
que eulx mesmes ont faict: ⁊ tout	que eulx mesmes ont faict: et tout
pour le proffit de cuysine. Est il riẽ	pour le proffit de cuysine. Est il rien
gent content? Et que les aulmos¬	gent content? Et que les aulmos¬
nes que ces Cauquemares qui obli	nes que ces Cauquemares qui obli¬
gent leurs conuentz a prier Dieu	gent leurs conventz a prier Dieu
pour les trespassez? Et des oraisõs	pour les trespassez? Et des oraisons
grand Libera/ sept Psalmes/ et le	grand Libera/ sept Psalmes/ et le
de Profũdis sur la fosse? Il fault	de Profundis sur la fosse? Il fault
que tout passe par leurs mains. Et	que tout passe par leurs mains. Et
ainsi font prieres pour les paoures	ainsi font prieres pour les paovres
les acheptẽt bien cheremẽt: car au¬	les acheptent bien cherement: car au¬
trement il nen est memoire: comme	trement il n’en est memoire: comme
lon peult congnoistre par aucuns	l’on peult congnoistre par aucuns
paoures heritiers/ q̃ iacoit qͥlz neus¬	paovres heritiers/ que j’acoit qu’ilz n’eus¬
necessairement trouuer: car cest ad	necessairement trouver: car c’est ad
pias causas. Et sil ya q̃lq̃ pelerina¬	pias causas. Et s’il y a quelque pelerina¬
ge/ il le fault faire/ a cause q̃ lame	ge/ il le fault faire/ a cause que l’ame
du mort ne pourroit sortir du feu	du mort ne pourroit sortir du feu
par ainsi de ses tormens leur soup¬	par ainsi de ses tormens leur soup¬
pe est bien engraissee.	pe est bien engraissee.
Tiercement/ ilz ueullent renfor	Tiercement/ ilz veullent renfor¬
cer leur fondement par ce passage	cer leur fondement par ce passage
dira aucun mot contre le filz de lhõ	dira aucun mot contre le filz de l’hom¬
me/ il luy sera pardonne: mais qͥ le	me/ il luy sera pardonne: mais qui le
dira alẽcontre du S. Esperit/ il ne	dira a l’encontre du Sainct Esperit/ il ne
luy sera point pardõne/ ne en ce sie¬	luy sera point pardonne/ ne en ce sie¬
parolles arguent ainsi: Christ dit q̃	parolles arguent ainsi: Christ dit que
le peche contre le S. Esperit ne sera	le peche contre le Sainct Esperit ne sera
poĩt pardõne en ce siecle/ ne au sie¬	point pardonne en ce siecle/ ne au sie¬
cle aduenir. Il sensuit donc quil y	cle advenir. Il s’ensuit donc qu’il y
pardonnez/ non en paradis: car les	pardonnez/ non en paradis: car les
pechez ny entrẽt poĩt ne semblable	pechez n’y entrent point ne semblable¬
