¶ Linstruction des	¶ L’instruction des
scritz. Mais cõsiderans la corruption ⁊ mutation	scritz. Mais considerans la corruption et mutation
eis langues estrangieres (ce que est escheu entre les	eis langues estrangieres (ce que est escheu entre les
Et aussi S. Hierosme: tant des latins q̃ des grecz)	Et aussi Sainct Hierosme: tant des latins que des grecz)
auõs tasche aucunemẽt icy restituer lesdictz noms	avons tasche aucunement icy restituer lesdictz noms
tion/ qui nest point de petite utilite: pour mieux	tion/ qui n’est point de petite utilite: pour mieux
pture saincte. Cõme cy apres (dieu aydant) nous	pture saincte. Comme cy apres (dieu aydant) nous
demonstrerons amplement au cayer des interpre¬	demonstrerons amplement au cayer des interpre¬
Bible. Au surplus pour la grande difficulte de la	Bible. Au surplus pour la grande difficulte de la
aucunesfoys ne se peut (cõme dit Pline) deument	aucunesfoys ne se peut (comme dit Pline) deument
prononcer: auons suyui la plus doulce prononcia	prononcer: avons suyvi la plus doulce prononcia¬
iadis estoit: lappropriãt a nostre usai¬	jadis estoit: l’appropriant a nostre usai¬
trop superstitieuse	trop superstitieuse
orthographie	orthographie
¶ Les noms des liures Canoniques	¶ Les noms des livres Canoniques
1.Moyse/ autremẽt Genese/ cõtient Chap.50.	1.Moyse/ autrement Genese/ contient Chap.50.
2.Moyse/ autrement Exode/ contient Chap̃.40.	2.Moyse/ autrement Exode/ contient Chap̃.40.
4.Moyse/ autremẽt Nombres/ cõtient Chap̃.36.	4.Moyse/ autrement Nombres/ contient Chap̃.36.
Iehosue/ autrement Iosue/ contient Chap̃.24.	Jehosue/ autrement Josue/ contient Chap̃.24.
Iuges/ contient Chap̃.21.	Juges/ contient Chap̃.21.
1.Semuel/ autremẽt. 1.des Roix/ cõtient Chap̃.31.	1.Semuel/ autrement. 1.des Roix/ contient Chap̃.31.
1.des Roix/ autrement 3. contient Chap̃.22.	1.des Roix/ autrement 3. contient Chap̃.22.
2.des Roix/ autrement 4. contient Chap̃.25.	2.des Roix/ autrement 4. contient Chap̃.25.
2.des Croniq̃s/ autre. Paralipome. ꝯtiẽt Chap̃.36.	2.des Croniques/ autre. Paralipome. contient Chap̃.36.
Nehemiah/ autremẽt. 2.Esdras/ cõtient Chap̃.13.	Nehemiah/ autrement. 2.Esdras/ contient Chap̃.13.
Esther/ contient Chap̃.10.	Esther/ contient Chap̃.10.
Le liure des Psalmes/ contient. 150.	Le livre des Psalmes/ contient. 150.
Ecclesiaste/ autremẽt le prescheur/ cõtiẽt Chap̃.12.	Ecclesiaste/ autrement le prescheur/ contient Chap̃.12.
Les Cantiques de Solomon/ contient Chap.8.	Les Cantiques de Solomon/ contient Chap.8.
Ieremiah/ autrement Ieremie/ cõtient Chap̃.52.	Jeremiah/ autrement Jeremie/ contient Chap̃.52.
contient Chapitres.5.	contient Chapitres.5.
Iehezeciel/ autrement Ezechiel/ cõtient Chap.48.	Iehezeciel/ autrement Ezechiel/ contient Chap.48.
Hosee/ autrement Osee/ cõtient Chap̃.14.	Hosee/ autrement Osee/ contient Chap̃.14.
Amos/ contient Chap̃.9.	Amos/ contient Chap̃.9.
Obdiah/ autrement Abdee/ contient Chap̃.1.	Obdiah/ autrement Abdee/ contient Chap̃.1.
Michah/ autrement Michee/ cõtient Chap̃.7.	Michah/ autrement Michee/ contient Chap̃.7.
Habacuc/ autrement Abacuc/ contient Chap̃.3.	Habacuc/ autrement Abacuc/ contient Chap̃.3.
Zephaniah/ autremẽt Sophonias/ cõtiẽt Cha.3.	Zephaniah/ autrement Sophonias/ contient Cha.3.
Zechariah/ autrement zacharie/ cõtient Chap̃.14.	Zechariah/ autrement zacharie/ contient Chap̃.14.
¶ Sensuiuent les liures Apocriphes/ qui ne	¶ S’ensuivent les livres Apocriphes/ qui ne
sõt point receuz des Hebrieux: mais nous les	sont point receuz des Hebrieux: mais nous les
logue sur les Prouerbes) poͬ linstruction du	logue sur les Proverbes) pour l’instruction du
des doctrines Ecclesiastiques.	des doctrines Ecclesiastiques.
Tobiah/ autrement Tobie/ contient Chap̃.14.	Tobiah/ autrement Tobie/ contient Chap̃.14.
Esther depuis la lr̃e .B. du .x. chap̃. iusq̃ en la fin.	Esther depuis la lettre .B. du .x. chap̃. jusque en la fin.
Iesue filz de Sirach/ autrement Ecclesiastique/	Iesue filz de Sirach/ autrement Ecclesiastique/
contient Chapitres.51.	contient Chapitres.51.
Lepistre de Ieremie.	L’epistre de Jeremie.
Lhistoire de Susanne.	L’histoire de Susanne.
Du dragon/ de bel.	Du dragon/ de bel.
Le. 2.des Machabees/ contient Chap̃.15.	Le. 2.des Machabees/ contient Chap̃.15.
¶ Sensuyuent les liures du	¶ S’ensuyuent les livres du
nouueau testamẽt.	nouveau testament.
S. Marc/ contient Chap̃.16.	Sainct Marc/ contient Chap̃.16.
S. Iehan/ contient Chap̃.21.	Sainct Jehan/ contient Chap̃.21.
Actes ou faictz des Apostres/ par S. Luc/ cõtient	Actes ou faictz des Apostres/ par Sainct Luc/ contient
S. Paul aux Romains/ contient Chap̃.16.	Sainct Paul aux Romains/ contient Chap̃.16.
2.des Corinthiens/ contient Chap̃.13.	2.des Corinthiens/ contient Chap̃.13.
Aux Galates/ cõtient Chap̃.6.	Aux Galates/ contient Chap̃.6.
Aux Philippiens/ contient Chap̃.4.	Aux Philippiens/ contient Chap̃.4.
La. 1.aux Thessaloniciens/ contient Chap̃.5.	La. 1.aux Thessaloniciens/ contient Chap̃.5.
2.aux Thessaloniciens/ cõtient Chap̃.3.	2.aux Thessaloniciens/ contient Chap̃.3.
2.a Timothee/ contient Chap̃.4.	2.a Timothee/ contient Chap̃.4.
A Philomene/ contient Chap̃.1.	A Philomene/ contient Chap̃.1.
Aux Hebrieux/ contient Chap̃.13.	Aux Hebrieux/ contient Chap̃.13.
1.Epistre de S. Pierre/ contient Chap̃.5.	1.Epistre de Sainct Pierre/ contient Chap̃.5.
1.Epistre de sainct Iehan/ contient Chap̃.5.	1.Epistre de sainct Jehan/ contient Chap̃.5.
2.Epistre de sainct Iehan/ contient Chap̃.1.	2.Epistre de sainct Jehan/ contient Chap̃.1.
Epistre de sainct Iude/ contient Chap̃.1.	Epistre de sainct Jude/ contient Chap̃.1.
¶ Les dessusdictz liures enseignẽt ce.	¶ Les dessusdictz livres enseignent ce.
¶ Quil est un dieu tout puissãt/ tout sage/ ⁊ tout	¶ Qu’il est un dieu tout puissant/ tout sage/ et tout
¶ Quil a forme Adam/ a son image ⁊ similitude:	¶ Qu’il a forme Adam/ a son image et similitude:
Adam/ peche est entre au monde/ ⁊ q̃ nous sommes	Adam/ peche est entre au monde/ et que nous sommes
tous en Adam/ ⁊ par Adam pecheurs.	tous en Adam/ et par Adam pecheurs.
ceu la loy/ affin q̃ par icelle ꝯgnoissãs leͬs pechez	ceu la loy/ affin que par icelle congnoissans leurs pechez
tisfaire de leͬs pechez/ ⁊ accõplir la loy par iceluy.	tisfaire de leurs pechez/ et accomplir la loy par iceluy.
¶ Que Christ est nay en temps constitue de Dieu	¶ Que Christ est nay en temps constitue de Dieu
doit. Et non point pour les bonnes oeuures dau¬	doit. Et non point pour les bonnes oeuvres d’au¬
me ueritable il nous fist grace ⁊ misericorde.	me veritable il nous fist grace et misericorde.
¶ Que Christ est nr̃e uie/ uoye/ uerite/ paix/ iusti¬	¶ Que Christ est nostre vie/ voye/ verite/ paix/ justi¬
pour le salut de tous/ ⁊ resuscite pour nostre iusti	pour le salut de tous/ et resuscite pour nostre justi¬
craindre: ⁊ les bons attendre la uie eternelle.	craindre: et les bons attendre la vie eternelle.
¶ Sensuyuent les noms des	¶ S’ensuyvent les noms des
phres/ auec leurs	phres/ avec leurs
ung deux troys quattre cinq six sept huyct neuf	ung deux troys quattre cinq six sept huyct neuf
.i. .ii. .iii. .iiii. .u. .ui. .uii. .uiii. .ix.	.i. .ii. .iii. .iiii. .v. .vi. .vii. .viii. .ix.
dix unze douze treize quatorze quinze seize dixsept	dix unze douze treize quatorze quinze seize dixsept
10 11 12 13 14  15 16  17	10 11 12 13 14 15 16 17
dixhuyct dixneuf uingt uingtung uingtdeux	dixhuyct dixneuf vingt vingtung vingtdeux
18 19 20 21 22	18 19 20 21 22
.xxiii. .xxiiii. .xxu. .xxui.	.xxiii. .xxiiii. .xxv. .xxvi.
23 24 25 26	23 24 25 26
.xxuii. .xxuiii. .xxix. .xxx. .xxxi.	.xxvii. .xxviii. .xxix. .xxx. .xxxi.
trẽtedeux trẽtetroys trẽtequattre trẽtecinq trẽtesix	trentedeux trentetroys trentequattre trentecinq trentesix
.xxxii. .xxxiii. .xxxiiii. .xxxu. .xxxui.	.xxxii. .xxxiii. .xxxiiii. .xxxv. .xxxvi.
trẽtesept trẽtehuyct trẽteneuf quarãte quarãteung	trentesept trentehuyct trenteneuf quarante quaranteung
37 38 39 40 41	37 38 39 40 41
quarantedeux quarantetroys quarantequattre	quarantedeux quarantetroys quarantequattre
42 43 44	42 43 44
.xlu. .xlui. .xluii. .xluiii.	.xlv. .xlvi. .xlvii. .xlviii.
45 46 47 48	45 46 47 48
.xlix. .l. .li. .lii.	.xlix. .l. .li. .lii.
cinquantetroys cinquantequattre cinquantecinq	cinquantetroys cinquantequattre cinquantecinq
.liii. .liiii. .lu.	.liii. .liiii. .lv.
cinquantesix cinquantesept cinquantehuyct	cinquantesix cinquantesept cinquantehuyct
56 57 58	56 57 58
cinquãteneuf soixante soixãteung soixãtedeux	cinquanteneuf soixante soixanteung soixantedeux
59 60 61 62	59 60 61 62
.lxiii. .lxiiii. .lxu.	.lxiii. .lxiiii. .lxv.
63 64 65	63 64 65
.lxui. .lxuii. .lxuiii. .lxix.	.lxvi. .lxvii. .lxviii. .lxix.
septante septãteung septantedeux septantetroys	septante septanteung septantedeux septantetroys
.lxx. .lxxi. .lxxii. .lxxiii.	.lxx. .lxxi. .lxxii. .lxxiii.
septãtequattre septãtecinq septãtesix septãtesept	septantequattre septantecinq septantesix septantesept
74 75 76 77	74 75 76 77
septantehuyct septanteneuf octante octanteung	septantehuyct septanteneuf octante octanteung
78 79 80 81	78 79 80 81
.lxxxii. .lxxxiii. .lxxxiiii. .lxxxu.	.lxxxii. .lxxxiii. .lxxxiiii. .lxxxv.
82 83 84 85	82 83 84 85
.lxxxui. .lxxxuii. .lxxxuiii. .lxxxix.	.lxxxvi. .lxxxvii. .lxxxviii. .lxxxix.
nonante nonanteung nonãtedeux nonantetroys	nonante nonanteung nonantedeux nonantetroys
.xc. .xci. .xcii. .xciii.	.xc. .xci. .xcii. .xciii.
nonãtequattre nonãtecinq nonãtesix nonãtesept	nonantequattre nonantecinq nonantesix nonantesept
94 95 96 97	94 95 96 97
nonãtehuyct nonãteneuf cent centung centdeux	nonantehuyct nonanteneuf cent centung centdeux
98 99 100 101 102	98 99 100 101 102
.ciii. .ciiii. .cu. .cui. .cuii. .cuiii.	.ciii. .ciiii. .cv. .cvi. .cvii. .cviii.
103 104 105 106 107 108	103 104 105 106 107 108
autres nombres.	autres nombres.
Ceste figure 0 a parsoy ne faict nul nõbre	Ceste figure 0 a par soy ne faict nul nombre
mais ioincte auec les autres elle les multi¬	mais joincte avec les autres elle les multi¬
60 70 80 90 100 Quand il ya	60 70 80 90 100 Quand il y a
le nombre: il faut commencer a la dextre ⁊	le nombre: il faut commencer a la dextre et
monter a la senestre: disant/ Nombre 1	monter a la senestre: disant/ Nombre 1
Dix mille 10000 Cent mille 100000	Dix mille 10000 Cent mille 100000
Cent millions 100000000 Dix cens	Cent millions 100000000 Dix cens
millions 1000000000	millions 1000000000
¶ Pour enseigner les enfans a prononcer plus	¶ Pour enseigner les enfans a prononcer plus
motz de lautre/ a denotter q̃ premierement doiuent	motz de l’autre/ a denotter que premierement doivent
apprẽdre a sõner les lettres q̃ les nõmer: ie appelle	apprendre a sonner les lettres que les nommer: je appelle
quand on les accõmodera aux sons/ sibilations/ ⁊	quand on les accommodera aux sons/ sibilations/ et
ceans/ sãs aucunemẽt trainer/ ne sõner la lettre .e.	ceans/ sans aucunement trainer/ ne sonner la lettre .e.
masculine. Cõe quãd uoudras ꝓnõcer la lettre .s/	masculine. Comme quand voudras prononcer la lettre .s/
oye/ mais courte ⁊ subite sans queue. Pour .r. la	oye/ mais courte et subite sans queue. Pour .r. la
te ou cãne: ⁊ ainsi consequãment des autres/ cõme	te ou canne: et ainsi consequamment des autres/ comme
pourras feindre. Item poͬ la cõuenance du son qͥ	pourras feindre. Item pour la convenance du son qui
ctemẽt ꝓnõcer: affin quon ne ꝓnonce .b/ pour .p/ c.	ctement prononcer: affin qu’on ne prononce .b/ pour .p/ c.
au cõtraire. Itẽ noteras en lãgue frãcoyse estre	au contraire. Item noteras en langue francoyse estre
plus de diphthõgues q̃ en grec ne en latin/ cõme est	plus de diphthongues que en grec ne en latin/ comme est
pour les sõner. Itẽ en icelle lãgue/ cõe en Hebrieu	pour les sonner. Item en icelle langue/ comme en Hebrieu
auõs discerne par deux accẽtz ⁊ poinctes/ dont lun	avons discerne par deux accentz et poinctes/ dont l’un
se appelle graue/ figure cõe une petite ligne abais¬	se appelle grave/ figure comme une petite ligne abais¬
traire abaissant le deuãt. De ce/ exẽple en as en	traire abaissant le devant. De ce/ exemple en as en
p̃sent/ a la differẽce du tẽps passe: Dõné/ cestadire	present/ a la difference du temps passe: Donné/ c’est a dire
il a dõné. Autre exẽple/ du tẽps passe aux articles	il a donné. Autre exemple/ du temps passe aux articles
rẽce du tẽps present. Laq̃lle distinction est assez uti	rence du temps present. Laquelle distinction est assez uti¬
pour distinguer certain temps ⁊ differẽces de motz	pour distinguer certain temps et differences de motz
doubteux/ signifiãs plusieͬs choses. Par ce moyen	doubteux/ signifians plusieurs choses. Par ce moyen
ces/ tãt en escriuãt q̃ en ꝓnõceãt: cõme aucuns mal	ces/ tant en escrivant que en prononceant: comme aucuns mal
pour scriptura: ⁊c. Que si telle cõsideration eut este	pour scriptura: etc. Que si telle consideration eut este
iadis obtenue: les motz q̃ auõs des latins usurpez/	jadis obtenue: les motz que avons des latins usurpez/
blemẽt deschirez/ ⁊ corrõpus: tellemẽt q̃ a grãde dif	blement deschirez/ et corrompus: tellement que a grande dif¬
mologie. Item en nostre lãgue on pourra obser¬	mologie. Item en nostre langue on pourra obser¬
uer (cõme anciennemẽt en latin ⁊ grec: et auiour¬	ver (comme anciennement en latin et grec: et aujour¬
Petrarche ⁊ Dantes) certaines figures/ tãt en ꝓse	Petrarche et Dantes) certaines figures/ tant en prose
grec q̃ nous pouõs appeller retraicte/ ou reuolte: ⁊	grec que nous povons appeller retraicte/ ou revolte: et
a figure/ comme un traict courbe en forme de petit	a figure/ comme un traict courbe en forme de petit
senestre. Et sert ladicte figure poͬ absorber ou en¬	senestre. Et sert ladicte figure pour absorber ou en¬
par une uoyelle ou diphthõgue/ pour euiter la ru¬	par une voyelle ou diphthongue/ pour eviter la ru¬
de ⁊ mauuaise pronõciation/ cõme as exemple au	de et mauvaise prononciation/ comme as exemple au
que le Eternel. Synaleiphe est une autre figure	que le Eternel. Synaleiphe est une autre figure
peut estre dite raclure ou depositiõ/ soit de la uoyel	peut estre dite raclure ou deposition/ soit de la voyel¬
le ou de la cõsonnãte: pourtãt quelle oste la dernie	le ou de la consonnante: pourtant qu’elle oste la dernie¬
a grãde force/ disons a grãd' force: pour nous som	a grande force/ disons a grand’ force: pour nous som¬
pour nous auõs. Mais de ces figures en Quinti¬	pour nous avons. Mais de ces figures en Quinti¬
lien/ en est escrit amplemẽt. Et si en attendons de	lien/ en est escrit amplement. Et si en attendons de
la langue frãcoyse: parquoy ie men deporte.	la langue francoyse: parquoy je m’en deporte.
ꝓnoncer/ les lõgues ⁊ les brefues: cõme en ce mot	prononcer/ les longues et les brefves: comme en ce mot
icy quotidien: se doit un petit plus arrester sur la	icy quotidien: se doit un petit plus arrester sur la
ger /di. La longue dõc/ soit cõme un traict longuet	ger /di. La longue donc/ soit comme un traict longuet
des dix cõmandemẽs q̃ auõs restitue en leur ordre:	des dix commandemens que avons restitue en leur ordre:
ce na point este faict sans lauctorite des anciens/	ce n’a point este faict sans l’auctorite des anciens/
Ioseph en ses antiqͥtez/ ⁊ de Origene en Exode:	Joseph en ses antiquitez/ et de Origene en Exode:
nu ⁊ plus grand ne pourroit (qui est idolatrie) car	nu et plus grand ne pourroit (qui est idolatrie) car
en ostãt le second/ ⁊ en faisant du dernier deux: on	en ostant le second/ et en faisant du dernier deux: on
teur nostre dieu/ qui est de ne auoir nulles images	teur nostre dieu/ qui est de ne avoir nulles images
mẽt offẽse: ueu quil auoit estroictemẽt defendu/ de	ment offense: veu qu’il avoit estroictement defendu/ de
ne adiouster ne diminuer a sa parolle.	ne adjouster ne diminuer a sa parolle.
M. A son bon frere Ant.	M. A son bon frere Ant.
¶ Trescher frere long tẽps ya q̃ tu desirois le petit	¶ Tres cher frere longtemps y a que tu desirois le petit
traicte des reigles/ ⁊ maniere de ꝓceder en nr̃e uul¬	traicte des reigles/ et maniere de proceder en nostre vul¬
chãt les sons ⁊ noms des lettres/ les apostrophes/	chant les sons et noms des lettres/ les apostrophes/
amy Pierre trebor/ instruisãt les adolescẽs de son	amy Pierre trebor/ instruisant les adolescens de son
escole. Leq̃l certes est moult utile pour introduire	escole. Lequel certes est moult utile pour introduire
cte orthographie. Mais certes ie nay peu du tout	cte orthographie. Mais certes je n’ay peu du tout
reigles/ ⁊ aussi le recueil daucuns passages de le¬	reigles/ et aussi le recueil d’aucuns passages de l’e¬
scripture saincte ont este distraictz ⁊ perdus: exce¬	scripture saincte ont este distraictz et perdus: exce¬
rescou de la despouille. Lequel prẽdras en gre: attẽ	rescou de la despouille. Lequel prendras en gre: atten¬
dict frere ⁊ feal amy Pierre aura le tẽps ⁊ oportu¬	dict frere et feal amy Pierre aura le temps et oportu¬
nite de tout restituer. Laq̃lle chose nous attẽdõs de	nite de tout restituer. Laquelle chose nous attendons de
⁊ ne cõfond ceux qͥ esperent en luy. Tu auras	et ne confond ceux qui esperent en luy. Tu auras
point obserue la maniere descrire/	point observe la maniere d’escrire/
